id,name,description,price,category,image
138,X500grs,"Se ha usado para aliviar la tos, el resfrío, el catarro y el asma. Pero más recientemente sus propiedades curativas han sido atribuidas a un componente llamado sulfuro de propilo, que se cree tiene un efecto similar al de la insulina",4500,Vegetales,
139,X1000grs,"Se ha usado para aliviar la tos, el resfrío, el catarro y el asma. Pero más recientemente sus propiedades curativas han sido atribuidas a un componente llamado sulfuro de propilo, que se cree tiene un efecto similar al de la insulina",7800,Vegetales,
140,Unidad,Batata Rosada,10900,Vegetales,
141,X200,Zanahoria baby bandeja,6800,Vegetales,
142,X400grs (Ahorro),Zanahoria baby bandeja,11900,Vegetales,
143,Una unidad,Lechuga Batavia unidad x 700 grs,4500,Vegetales,
144,Dos unidades (Ahorro),Lechuga Batavia unidad x 700 grs,7900,Vegetales,
145,1 kilo,Auyama sakata x kilo (1-2) Unidades,4000,Vegetales,
146,2 kilos (Ahorro),Auyama sakata x kilo (1-2) Unidades,7700,Vegetales,
147,x 50 g,"El ají chipotle ayuda a aliviar el dolor, mejora la circulación, acelera el metabolismo, fortalece el sistema inmunológico y favorece la respiración. Además, aporta vitaminas y antioxidantes.",9000,Chiles y Ajíes,
148,x 50g,"El ají ancho es rico en vitaminas A y C, mejora la digestión, acelera el metabolismo, tiene propiedades antiinflamatorias y ayuda a proteger el sistema inmunológico.",9000,Chiles y Ajíes,
149,Unidad,,8900,Chiles y Ajíes,
150,X1,Vino siboney y galletas navideñas,11900,Navidad,
151,X6,Vino siboney y galletas navideñas,69900,Navidad,
152,X1 Unidad,"Aguacates seleccionados para consumo individual o en pequeña cantidad, de alta calidad.",39300,Aguacates,
153,X3 unidades domi gratis ahorro,"Aguacates seleccionados para consumo individual o en pequeña cantidad, de alta calidad.",114900,Aguacates,
154,Caja de 24 unidades *mediano* en 3 diferentes estados de maduracion para toda la semana,"Caja de aguacates Hass de tamaño mediano (24 unidades), en tres estados de maduración para toda la semana. La unidad sale a $608. El aguacate tiene numerosas propiedades y beneficios para la salud, destacando su beneficio para el corazón por su contenido de ácido oleico que reduce el colesterol malo y aumenta el bueno.",16600,Aguacates,
155,Caja de 12 unidades *Premium* en 3 diferentes estados de maduracion para toda la semana,"Caja de aguacates Premium (12 unidades), en tres estados de maduración para toda la semana. La unidad sale a $1658. El aguacate tiene numerosas propiedades y beneficios para la salud, destacando su beneficio para el corazón por su contenido de ácido oleico que reduce el colesterol malo y aumenta el bueno.",24700,Aguacates,
156,Caja de 7 unidades injerto *mediano*,"Caja de aguacates de injerto (7 unidades), en tres estados de maduración para tener fruta toda la semana. Puede incluir cualquier variedad semil o papelillo según disponibilidad. El aguacate tiene numerosas propiedades y beneficios para la salud, destacando su beneficio para el corazón por su contenido de ácido oleico que reduce el colesterol malo y aumenta el bueno.",24000,Aguacates,
157,Paquete X 12 Unidades baby,"El paquete viene En tres estados de maduración para que tengas fruta toda la semana El aguacate tiene numerosas propiedades y beneficios para la salud. Pero, sin duda, la más destacable es lo saludable que es para el corazón. Esto es debido a que contiene ácido oleico. Esta grasa monoinsaturada logra reducir el colesterol malo o LDL y aumentar el bueno o HDL.",7900,Aguacates,
158,Paquete x 8 unidades mediano,"El paquete viene En tres estados de maduración para que tengas fruta toda la semana El aguacate tiene numerosas propiedades y beneficios para la salud. Pero, sin duda, la más destacable es lo saludable que es para el corazón. Esto es debido a que contiene ácido oleico. Esta grasa monoinsaturada logra reducir el colesterol malo o LDL y aumentar el bueno o HDL.",8900,Aguacates,
159,Paquete x4 unidades premium,"El paquete viene En tres estados de maduración para que tengas fruta toda la semana El aguacate tiene numerosas propiedades y beneficios para la salud. Pero, sin duda, la más destacable es lo saludable que es para el corazón. Esto es debido a que contiene ácido oleico. Esta grasa monoinsaturada logra reducir el colesterol malo o LDL y aumentar el bueno o HDL.",9900,Aguacates,
160,Paquete 4 Unidades(injerto) mediano,"El paquete viene En tres estados de maduración para que tengas fruta toda la semana El aguacate tiene numerosas propiedades y beneficios para la salud. Pero, sin duda, la más destacable es lo saludable que es para el corazón. Esto es debido a que contiene ácido oleico. Esta grasa monoinsaturada logra reducir el colesterol malo o LDL y aumentar el bueno o HDL.",10400,Aguacates,
161,Paquete 4 Unidades(injerto),"El paquete viene En tres estados de maduración para que tengas fruta toda la semana El aguacate tiene numerosas propiedades y beneficios para la salud. Pero, sin duda, la más destacable es lo saludable que es para el corazón. Esto es debido a que contiene ácido oleico. Esta grasa monoinsaturada logra reducir el colesterol malo o LDL y aumentar el bueno o HDL.",14400,Aguacates,
162,Caja (6-8 unidades),Aguacate criollo o injerto tamaño pequeño calidad segunda.,14900,Promociones del Día,
163,"Caja Baby (35 unidades, 3 estados maduración)","La caja viene en tres estados de maduración para que tengas fruta toda la semana. El aguacate tiene numerosas propiedades y beneficios para la salud, siendo la más destacable lo saludable que es para el corazón, debido a su contenido de ácido oleico que reduce el colesterol malo (LDL) y aumenta el bueno (HDL).",11000,Promociones del Día,
164,Caja (35 unidades),"La caja viene en tres estados de maduración para que tengas fruta toda la semana. El aguacate tiene numerosas propiedades y beneficios para la salud, siendo la más destacable lo saludable que es para el corazón, debido a su contenido de ácido oleico que reduce el colesterol malo (LDL) y aumenta el bueno (HDL).",15900,Promociones del Día,
